iter	Passed	Remaining
1412	45678	18976
1413	45711	18944
1414	45746	18912
1415	45783	18882
1416	45816	18850
1417	45858	18821
1418	45898	18792
1419	45929	18759
1420	45964	18728
1421	45998	18697
1422	46028	18663
1423	46065	18633
1424	46099	18601
1425	46132	18569
1426	46169	18539
1427	46198	18505
1428	46233	18473
1429	46266	18442
1430	46298	18409
1431	46335	18378
1432	46370	18347
1433	46400	18314
1434	46430	18280
1435	46463	18249
1436	46494	18215
1437	46522	18181
1438	46556	18150
1439	46594	18120
1440	46626	18087
1441	46658	18055
1442	46687	18021
1443	46719	17988
1444	46749	17955
1445	46787	17925
1446	46818	17892
1447	46849	17859
1448	46883	17827
1449	46915	17795
1450	46953	17765
1451	46983	17732
1452	47019	17701
1453	47055	17670
1454	47094	17640
1455	47127	17607
1456	47159	17575
1457	47188	17541
1458	47216	17508
1459	47252	17476
1460	47286	17445
1461	47324	17414
1462	47362	17384
1463	47393	17351
1464	47425	17319
1465	47456	17286
1466	47494	17256
1467	47525	17223
1468	47556	17190
1469	47588	17157
1470	47617	17124
1471	47649	17091
1472	47680	17058
1473	47713	17026
1474	47750	16995
1475	47785	16964
1476	47824	16934
1477	47867	16905
1478	47907	16876
1479	47948	16846
1480	47984	16815
1481	48022	16785
1482	48061	16755
1483	48105	16726
1484	48141	16695
1485	48182	16666
1486	48214	16633
1487	48248	16601
1488	48276	16567
1489	48309	16535
1490	48337	16501
1491	48371	16469
1492	48404	16437
1493	48443	16407
1494	48477	16375
1495	48507	16342
1496	48545	16311
1497	48583	16280
1498	48621	16250
1499	48659	16219
1500	48692	16187
1501	48721	16153
1502	48757	16122
1503	48786	16089
1504	48816	16055
1505	48848	16023
1506	48879	15990
1507	48912	15958
1508	48946	15926
1509	48986	15896
1510	49024	15865
1511	49061	15834
1512	49110	15807
1513	49154	15778
1514	49191	15747
1515	49233	15718
1516	49273	15688
1517	49307	15656
1518	49337	15623
1519	49370	15590
1520	49406	15559
1521	49434	15525
1522	49465	15492
1523	49500	15460
1524	49533	15428
1525	49576	15399
1526	49613	15368
1527	49652	15337
1528	49683	15304
1529	49714	15271
1530	49744	15238
1531	49776	15205
1532	49809	15173
1533	49842	15141
1534	49872	15108
1535	49903	15075
1536	49942	15044
1537	49982	15014
1538	50016	14982
1539	50045	14948
1540	50086	14918
1541	50117	14885
1542	50147	14852
1543	50178	14819
1544	50208	14786
1545	50242	14754
1546	50284	14724
1547	50322	14693
1548	50359	14662
1549	50393	14630
1550	50427	14598
1551	50461	14566
1552	50497	14534
1553	50539	14504
1554	50575	14473
1555	50609	14441
1556	50651	14411
1557	50682	14378
1558	50724	14348
1559	50758	14316
1560	50793	14284
1561	50832	14253
1562	50873	14223
1563	50915	14193
1564	50952	14162
1565	50995	14132
1566	51032	14101
1567	51060	14067
1568	51101	14037
1569	51137	14005
1570	51173	13974
1571	51207	13941
1572	51241	13909
1573	51273	13877
1574	51303	13843
1575	51333	13810
1576	51370	13779
1577	51402	13746
1578	51432	13713
1579	51466	13681
1580	51503	13649
1581	51538	13617
1582	51566	13583
1583	51598	13551
1584	51630	13518
1585	51665	13486
1586	51703	13455
1587	51735	13422
1588	51768	13390
1589	51804	13358
1590	51833	13324
1591	51872	13293
1592	51902	13260
1593	51934	13228
1594	51973	13196
1595	52009	13165
1596	52041	13132
1597	52071	13099
1598	52103	13066
1599	52134	13033
1600	52171	13002
1601	52204	12969
1602	52234	12936
1603	52267	12903
1604	52300	12871
1605	52333	12838
1606	52362	12805
1607	52395	12773
1608	52429	12740
1609	52463	12708
1610	52492	12675
1611	52526	12642
1612	52558	12610
1613	52587	12576
1614	52624	12545
1615	52654	12512
1616	52691	12480
1617	52722	12447
1618	52757	12415
1619	52789	12382
1620	52825	12350
1621	52857	12318
1622	52889	12285
1623	52921	12252
1624	52951	12219
1625	52981	12186
1626	53017	12154
1627	53045	12121
1628	53078	12088
1629	53111	12056
1630	53144	12023
1631	53178	11991
1632	53204	11957
1633	53238	11924
1634	53270	11892
1635	53305	11860
1636	53337	11827
1637	53369	11794
1638	53401	11762
1639	53429	11728
1640	53464	11696
1641	53500	11664
1642	53531	11631
1643	53561	11598
1644	53595	11566
1645	53632	11534
1646	53666	11502
1647	53698	11469
1648	53737	11438
1649	53773	11406
1650	53810	11374
1651	53840	11341
1652	53876	11309
1653	53910	11277
1654	53941	11244
1655	53972	11211
1656	54002	11178
1657	54033	11145
1658	54064	11112
1659	54092	11079
